workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
3D-UNet,3,unet3d_d2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,502210.56,5253,1.7614696363982487,2.8744516276413477e-05,1.22,421127536.0
3D-UNet,3,unet3d_d2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,493977.6,262221,0.035287028880219354,5.758308602285858e-07,1.2,414842656.0
3D-UNet,3,unet3d_d2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,411648.0,262221,0.035287028880219354,5.758308602285858e-07,1.0,351993856.0
3D-UNet,3,unet3d_d2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,469278.72,262221,0.035287028880219354,5.758308602285858e-07,1.14,395988016.0
3D-UNet,4,unet3d_d1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,933427.2,18469,1.0,8.17558849964806e-06,1.18,736737376.0
3D-UNet,4,unet3d_d1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,885964.8,18469,1.0,8.17558849964806e-06,1.12,701195856.0
3D-UNet,4,unet3d_d1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,791040.0,18469,1.0,8.17558849964806e-06,1.0,630112256.0
3D-UNet,4,unet3d_d1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,791040.0,16677,1.107453378905079,9.054083108472747e-06,1.0,630112256.0
3D-UNet,4,unet3d_d1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,870144.0000000001,16677,1.107453378905079,9.054083108472747e-06,1.1,689348496.0
3D-UNet,4,unet3d_d1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,965068.7999999999,16677,1.107453378905079,9.054083108472747e-06,1.22,760432096.0
3D-UNet,4,unet3d_d1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,949248.0,524311,0.03522527660110125,2.879873662768853e-07,1.2,748584736.0
3D-UNet,4,unet3d_d1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,791040.0,524311,0.03522527660110125,2.879873662768853e-07,1.0,630112256.0
3D-UNet,4,unet3d_d1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,901785.6,524311,0.03522527660110125,2.879873662768853e-07,1.14,713042656.0
RNN-T,1,rnnt_enc1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,96665.59999999999,165,1.0,5.084004848484848e-05,1.18,67056032.0
RNN-T,1,rnnt_enc1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,91750.40000000001,165,1.0,5.084004848484848e-05,1.12,63753152.0
RNN-T,1,rnnt_enc1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,81920.0,165,1.0,5.084004848484848e-05,1.0,57147392.0
RNN-T,1,rnnt_enc1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,81920.0,1285,0.12840466926070038,6.528099610894942e-06,1.0,57147392.0
RNN-T,1,rnnt_enc1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,90112.0,1285,0.12840466926070038,6.528099610894942e-06,1.1,62652192.0
RNN-T,1,rnnt_enc1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,99942.4,1285,0.12840466926070038,6.528099610894942e-06,1.22,69257952.0
RNN-T,1,rnnt_enc1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,98304.0,32837,0.0050248195632975,2.554620702256601e-07,1.2,68156992.0
RNN-T,1,rnnt_enc1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,81920.0,32837,0.0050248195632975,2.554620702256601e-07,1.0,57147392.0
RNN-T,1,rnnt_enc1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,93388.79999999999,32837,0.0050248195632975,2.554620702256601e-07,1.14,64854112.0
RNN-T,2,rnnt_enc2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,154664.96,165,1.0,0.00010168009696969696,1.18,90806144.0
RNN-T,2,rnnt_enc2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,146800.64,165,1.0,0.00010168009696969696,1.12,86402304.0
RNN-T,2,rnnt_enc2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,131072.0,165,1.0,0.00010168009696969696,1.0,77594624.0
RNN-T,2,rnnt_enc2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,131072.0,2309,0.07145950627977479,7.2660095279341705e-06,1.0,77594624.0
RNN-T,2,rnnt_enc2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,144179.2,2309,0.07145950627977479,7.2660095279341705e-06,1.1,84934544.0
RNN-T,2,rnnt_enc2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,159907.84,2309,0.07145950627977479,7.2660095279341705e-06,1.22,93742224.0
RNN-T,2,rnnt_enc2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,157286.4,32901,0.0050150451354062184,5.099302756755114e-07,1.2,92274464.0
RNN-T,2,rnnt_enc2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,131072.0,32901,0.0050150451354062184,5.099302756755114e-07,1.0,77594624.0
RNN-T,2,rnnt_enc2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,149422.08,32901,0.0050150451354062184,5.099302756755114e-07,1.14,87870624.0
RNN-T,3,rnnt_dec1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,96665.59999999999,293,1.0,2.86300614334471e-05,1.18,88708992.0
